ID,NVCHR_TenStatus,CHR_CreateBy,DTM_CreateDate,CHR_Flag,VCHR_CodeStatus,CHR_TenStatusJP,CHR_TenStatusEN
1,QLSC phòng yêu cầu chờ phê duyệt,khanhmf,2026-03-31 19:12:23.163,1,CREATE,係長の承認待ち,Chief/Expert waiting approval
2,"  Xóa",khanhmf,2026-03-31 19:12:23.317,1,DELETE,削除,Delete
3,Chậm,khanhmf,2026-03-31 19:12:23.450,1,DELAY,遅延,Late
4,Trả về từ QLSC phòng yêu cầu,khanhmf,2026-03-31 19:12:23.603,1,RETURN_QLSC,QLSC要求部門からの差戻し,Returned from QLSC Request Department
5,Trả về từ QLTC phòng yêu cầu,khanhmf,2026-03-31 19:12:23.757,1,RETURN_QLTC,QLTC要求部門からの差戻し,Returned from QLTC Request Department
6,Trả về từ PIC phòng đặt hàng,khanhmf,2026-03-31 19:12:23.897,1,RETURN_PIC,PIC発注部門からの差戻し,Returned from PIC Order Department
7,Trả về từ QLSC phòng đặt hàng,khanhmf,2026-03-31 19:12:24.073,1,RETURN_QLSC_1,QLSC発注部門からの差戻し,Returned from QLSC Order Department
8,Chưa gửi mail cho NCC xin báo giá,khanmf,2026-03-31 19:12:24.207,1,WAIT_SEND_MAIL,見積送信待ちの注文,Order Awaiting Quotation Submission
9,Đơn chờ báo giá NCC,khanhmf,2026-03-31 19:12:24.347,1,WAIT_NCC,サプライヤー見積待ちの注文,Order Awaiting Supplier Quotation
10,Đơn chờ chọn NCC,khanhmf,2026-03-31 19:12:24.500,1,WAIT_PICK_NCC,サプライヤー選定待ちの注文,Order Awaiting Supplier Selection
11,Đơn chờ phê duyệt NCC,khanhmf,2026-03-31 19:12:24.647,1,WAIT_APPROVE,サプライヤー承認待ちの注文,Order Awaiting Supplier Approval
12,Hoàn thành,khanhmf,2026-03-31 19:12:24.843,1,DONE,完了,Completed
13,QLSC phê duyệt,khamhmf,2026-03-31 19:12:25.050,1,QLSC,QLSC承認,QLSC Approved
14,QLTC phê duyệt,khanhmf,2026-03-31 19:12:25.227,1,QLTC,QLTC承認,QLTC Approved
15,PIC phê duyệt,khanhmf,2026-03-31 19:12:25.427,1,PIC,PIC承認,PIC Approved
16,QLSC phòng báo giá duyệt,khanhmf,2026-03-31 19:12:25.607,1,QLSC_1,QLSC見積部門承認済み,QLSC Quotation Department Approved
17,Chờ phê duyệt,khanhmf,2026-03-31 19:12:25.800,1,APPROVAL,承認待ち,Awaiting Approval
18,Trả về từ QLSC sau lựa chọn NCC,khanhmf,2026-03-31 19:12:25.987,1,RETURN_QLSC_AFTER,サプライヤー選定後 QLSCからの差戻し,Returned from QLSC After Supplier Selection
19,Trả về từ QLTC sau lựa chọn NCC,khanhmf,2026-03-31 19:12:26.173,1,RETURN_QLTC_AFTER,サプライヤー選定後 QLTCからの差戻し,Returned from QLTC After Supplier Selection
20,Trả về từ TBP sau lựa chọn NCC,khanhmf,2026-03-31 19:12:26.360,1,RETURN_TBP,サプライヤー選定後 TBPからの差戻し,Returned from TBP After Supplier Selection
21,QLSC phòng yêu cầu phê duyệt,khanhmf,2026-04-04 11:06:47.337,1,APPROVAL2,Chief/Expert 部門 承認依頼,Awaiting Chief/Expert Department Requests Approval
22,QLTC phòng yêu cầu phê duyệt,khanhmf,2026-04-04 11:07:38.177,1,APPROVAL3,Section Manager 部門 承認依頼,Awaiting Section Manager Department Requests Approval
23,PIC phòng PUR phê duyệt,khanhmf,2026-04-04 11:08:26.133,1,APPROVAL4,PIC発注部門 承認,Awaiting PIC PUR Approves
24,QLSC phòng PUR phê duyệt,khanhmf,2026-04-04 11:09:11.157,1,APPROVAL5,Chief/Expert 発注部門 承認,Awaiting Chief/Expert PUR Approves
25,Không lấy báo giá,khanhmf,2026-04-06 09:53:10.897,1,NOT_QUOTATION,サプライヤーからの見積もりは不要です,Do not quotation from supplier
26,Trả về từ phê duyệt lựa chọn NCC của QLSC,khanhmf,2026-04-08 15:11:52.260,1,RETURN_QLSC_AFTER,NULL,NULL
27,Trả về từ phê duyệt lựa chọn NCC của QLTC,khanhmf,2026-04-08 15:12:11.690,1,RETURN_QLTC_AFTER,NULL,NULL
28,Trả về từ phê duyệt lựa chọn NCC của Deft,khanhmf,2026-04-08 15:12:44.300,1,RETURN_DEFT,NULL,NULL
29,QLSC phê duyệt lựa chọn NCC,khanhmf,2026-04-08 15:14:25.887,1,QLSC_PICK_NCC,NULL,NULL
30,QLTC phê duyệt NCC,khanhmf,2026-04-08 15:14:47.063,1,QLTC_PICK_NCC,NULL,NULL
31,Deft phê duyệt NCC,khanhmf,2026-04-08 15:15:19.250,1,DEFT_PICK_NCC,NULL,NULL
32,Trả về từ xác nhận tên HQ,khanhmf,2026-04-24 11:42:42.110,1,RETURN_SHIP,Returns from name confirmation,名前確認から返される
33,Chờ xác nhận tên hải quan,khanhmf,2026-04-24 12:14:52.483,1,WAIT_CONFIRM_NAME,Waiting for customs name confirmation,税関名の確認待ち
34,Chờ lựa chọn nhà cung cấp,khanhmf,2026-04-29 10:43:34.590,1,PIC_PICK_NCC,Waiting for supplier selection,サプライヤー選定待ち
35,Chưa có nhà cung cấp nào gửi báo giá,khanhmf,2026-05-15 15:52:54.013,1,SUPPLIER_NOT_YET,No suppliers have submitted price quotes.,サプライヤーから価格見積もりは提出されていません。
36,Toàn bộ các NCC đã từ chối báo giá,khanhmf,2026-05-15 15:54:22.447,1,SUPPLIER_REFUSED,All suppliers refused to provide a quote.,すべてのサプライヤーが見積もり提供を拒否した。
37,Chờ phòng ban bổ sung thông tin hàng hóa cho Ship xác nhận tên,khanhmf,2026-05-16 09:01:29.800,1,ADD_PRODUCT_INFOR,Waiting for the department to add product information for Ship to confirm the name.,担当部署がShipの製品情報を追加するのを待って、名前を確認します。
38,Chờ Pur lấy lại giá theo tên đúng,khanhmf,2026-05-16 09:03:57.220,1,PUR_BACK_NAME,Waiting for Pur to get the price back under its correct name.,Purが価格を本来の名称に戻すのを待っている。
